epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.641,0.90862,2.23819,1.16513,0.67807,0.65569,0.66819,0.51048,0.83035,1.19001,1.07841,0.00333011,0.00333011,0.00333011
2,467.406,0.958,1.36524,1.1749,0.67696,0.69933,0.72525,0.54582,0.85752,0.99416,1.10627,0.00659748,0.00659748,0.00659748
3,690.682,1.09958,1.5625,1.26517,0.613,0.55853,0.58202,0.39141,1.08735,1.42402,1.28135,0.00979884,0.00979884,0.00979884
4,912.471,1.15264,1.61703,1.28377,0.73256,0.58965,0.66325,0.4672,0.97875,1.15014,1.17044,0.009703,0.009703,0.009703
5,1134.74,1.08296,1.44744,1.24629,0.64498,0.67537,0.72315,0.5357,0.88043,0.99566,1.11469,0.009604,0.009604,0.009604
6,1356.69,1.04418,1.31929,1.21807,0.7276,0.65278,0.73217,0.53984,0.89171,0.97967,1.09572,0.009505,0.009505,0.009505
7,1578.74,1.00609,1.21142,1.19822,0.79559,0.71172,0.77493,0.5883,0.85901,0.89233,1.10606,0.009406,0.009406,0.009406
8,1801,0.96537,1.14016,1.17852,0.84703,0.74536,0.82997,0.63901,0.81612,0.72696,1.06427,0.009307,0.009307,0.009307
9,2037.22,0.95112,1.0671,1.17,0.81993,0.76455,0.82191,0.6375,0.80006,0.7376,1.04655,0.009208,0.009208,0.009208
10,2294.13,0.92266,1.00893,1.151,0.79987,0.81314,0.85801,0.67485,0.76661,0.66323,1.03613,0.009109,0.009109,0.009109
11,2550.73,0.90665,0.97743,1.14345,0.79054,0.81782,0.86489,0.68205,0.7663,0.68841,1.036,0.00901,0.00901,0.00901
12,2808.2,0.88133,0.92537,1.13421,0.80902,0.80899,0.86316,0.68646,0.74251,0.63268,1.0351,0.008911,0.008911,0.008911
13,3064.98,0.87759,0.90758,1.13008,0.8282,0.83797,0.88449,0.7105,0.72934,0.58849,1.0053,0.008812,0.008812,0.008812
14,3322.12,0.86119,0.86325,1.12185,0.87299,0.82844,0.89189,0.72302,0.71213,0.53836,1.00638,0.008713,0.008713,0.008713
15,3578.66,0.84675,0.84663,1.11711,0.87703,0.84312,0.90562,0.74102,0.70238,0.53384,1.00185,0.008614,0.008614,0.008614
16,3836.03,0.83918,0.81857,1.10575,0.88079,0.86331,0.9064,0.74277,0.69975,0.50919,0.97569,0.008515,0.008515,0.008515
17,4093.97,0.83463,0.79412,1.10555,0.88175,0.83212,0.90384,0.74194,0.6993,0.51873,0.9945,0.008416,0.008416,0.008416
18,4353.03,0.81542,0.76814,1.10283,0.88158,0.84011,0.89598,0.73732,0.6835,0.49129,0.98424,0.008317,0.008317,0.008317
19,4611.82,0.81414,0.76197,1.09139,0.91049,0.85929,0.92479,0.76664,0.67221,0.45723,0.97638,0.008218,0.008218,0.008218
20,4870.51,0.80456,0.73407,1.09367,0.88245,0.88039,0.9195,0.76081,0.66988,0.45814,0.97294,0.008119,0.008119,0.008119
21,5100.15,0.80632,0.72865,1.08976,0.92698,0.88321,0.93338,0.77975,0.66334,0.45087,0.97327,0.00802,0.00802,0.00802
22,5326.06,0.80042,0.71434,1.08274,0.90186,0.89803,0.94036,0.78217,0.65633,0.4342,0.96163,0.007921,0.007921,0.007921
23,5547.8,0.79241,0.69213,1.07506,0.91967,0.88289,0.93277,0.78413,0.65538,0.42345,0.96689,0.007822,0.007822,0.007822
24,5769.2,0.783,0.67475,1.06833,0.92807,0.88809,0.94372,0.78582,0.65264,0.41274,0.96446,0.007723,0.007723,0.007723
25,5998.8,0.77174,0.65923,1.06636,0.91483,0.90778,0.9503,0.79465,0.64628,0.40364,0.96871,0.007624,0.007624,0.007624
26,6217.06,0.76478,0.65336,1.06491,0.92234,0.90012,0.9514,0.80503,0.64184,0.41943,0.95672,0.007525,0.007525,0.007525
27,6436.67,0.76785,0.65062,1.06601,0.93747,0.8859,0.93871,0.79214,0.63307,0.40096,0.95193,0.007426,0.007426,0.007426
28,6657.67,0.76244,0.64377,1.06313,0.926,0.91923,0.95183,0.80293,0.63007,0.38439,0.9484,0.007327,0.007327,0.007327
29,6877.14,0.75041,0.62753,1.05636,0.96141,0.90764,0.96333,0.82088,0.61883,0.36584,0.93582,0.007228,0.007228,0.007228
